files_cumulative,unique_chars,total_chars,entropy_bits,zipf_slope,zipf_r2
3640,4984,3518525,9.726241567292139,-2.3240444800344777,0.8366572999884903
3650,4993,3527272,9.727489032132768,-2.3244377254488615,0.8367407571085115
3660,4995,3537053,9.72761973427611,-2.324721898286202,0.836711263748897
3670,4996,3543603,9.727060334307977,-2.3252801494042066,0.8366881186772499
3680,4997,3551254,9.726541118404436,-2.325993109294851,0.836664384453335
3690,4998,3557956,9.72656982190068,-2.3257285210407703,0.8367416584443855
3700,5000,3569851,9.726882167101667,-2.325920313431629,0.836820958701192
3710,5001,3583491,9.726617061806692,-2.326959134570236,0.8368048130910657
3720,5007,3592773,9.727463813193326,-2.3274363516430174,0.8369062389839578
3730,5007,3598571,9.727751134778652,-2.3276900814637576,0.8368232090489411
3740,5007,3626164,9.727276189404877,-2.3301585155821845,0.8367545891871967
3750,5010,3637077,9.727761580925142,-2.330474412547688,0.8366527941700191
3760,5011,3646738,9.728031348530417,-2.3306436854686456,0.8365396402565842
3770,5013,3657272,9.72775739865765,-2.3314313716915813,0.8365691640407927
3780,5013,3667540,9.727053657710984,-2.3320240329725097,0.8365773050493852
3790,5015,3672723,9.726970741345378,-2.332827342665148,0.8365360409068138
3800,5015,3680386,9.727083480662127,-2.333081165648314,0.8364324793365261
3810,5016,3687504,9.7273098627544,-2.332680415985169,0.8365707814901682
3820,5017,3699310,9.726358013109339,-2.3335238137496592,0.8365911920609904
3830,5018,3709699,9.726684464179998,-2.3337583678992244,0.8365434050796389
3840,5019,3716669,9.727185168427846,-2.3343929716487986,0.8364374859943247
