rank,char,frequency
1588,迫,1091
1589,肖,1090
1590,敦,1090
1591,抽,1090
1592,氧,1090
1593,祉,1089
1594,摘,1089
1595,剑,1089
1596,宫,1089
1597,渡,1088
1598,柳,1087
1599,孟,1086
1600,冀,1084
1601,寄,1080
1602,锁,1078
1603,枢,1077
1604,喝,1068
1605,乏,1067
1606,峡,1063
1607,颗,1052
1608,赔,1052
1609,钻,1052
1610,颜,1051
1611,堵,1051
1612,摇,1048
1613,荷,1048
1614,熊,1046
1615,伯,1044
1616,浮,1044
1617,辛,1039
1618,惯,1036
1619,坝,1035
1620,瓷,1033
1621,炉,1030
1622,婚,1027
1623,愈,1026
1624,楚,1025
1625,弟,1021
1626,寿,1021
1627,君,1019
1628,牲,1018
1629,凉,1017
1630,绪,1015
1631,悠,1014
1632,割,1011
1633,辖,1007
1634,塘,1004
1635,栏,1004
1636,姜,1002
1637,莱,1002
1638,闪,999
1639,殷,998
1640,铭,996
1641,轴,994
1642,疏,994
1643,煌,993
1644,纹,992
1645,冯,991
1646,惩,991
1647,尺,990
1648,陷,990
1649,虫,989
1650,韵,987
1651,填,985
1652,袋,985
1653,挺,983
1654,阐,977
1655,紫,975
1656,暗,975
1657,匹,974
1658,彭,973
1659,谓,973
1660,汤,971
1661,赤,971
1662,愁,971
1663,芯,971
1664,辞,967
1665,混,966
1666,蛇,964
1667,碰,963
1668,忧,961
1669,摊,956
1670,甜,954
1671,叠,952
1672,滩,951
1673,堡,950
1674,催,946
1675,邓,945
1676,拜,943
1677,姆,943
1678,诸,942
1679,牺,942
1680,仰,939
1681,旱,938
1682,悬,936
1683,隧,935
1684,咨,935
1685,沃,934
1686,甸,934
1687,秉,931
1688,榜,930
1689,刊,929
1690,晶,928
1691,杆,927
1692,锡,926
1693,慨,924
1694,拆,924
1695,溯,924
1696,抚,922
1697,魂,921
1698,莲,921
1699,缴,921
1700,粒,920
1701,逆,919
1702,娜,914
1703,篮,914
1704,顿,913
1705,汗,911
1706,吕,911
1707,枪,909
1708,拨,903
1709,慰,900
1710,舱,897
1711,淀,896
1712,栋,895
1713,圣,894
1714,勘,892
1715,锐,888
1716,鞋,887
1717,魏,886
1718,耀,885
1719,纺,885
1720,柔,884
1721,您,882
1722,妙,882
1723,拖,881
1724,琳,878
1725,叙,877
1726,擎,877
1727,汪,875
1728,朴,874
1729,绵,874
1730,馈,874
1731,遥,873
1732,剪,873
1733,淮,871
1734,棚,871
1735,碎,871
1736,盲,869
1737,番,868
1738,乃,868
1739,掉,867
1740,淡,867
1741,玲,864
1742,滴,862
1743,睡,858
1744,猫,856
1745,茂,853
1746,胶,852
1747,株,852
1748,胸,850
1749,幻,850
1750,缝,850
1751,兹,849
1752,垒,849
1753,懈,848
1754,拳,845
1755,插,844
1756,泊,842
1757,涨,840
1758,侨,839
1759,滚,839
1760,弥,837
1761,瓶,836
1762,娃,835
1763,揽,829
1764,译,826
1765,翔,825
1766,聊,820
1767,吹,817
1768,腿,817
1769,迭,815
1770,喀,814
